PROVINCIA;POBLACION;CP
ALBACETE;AGUASNUEVAS;2049
ALBACETE;ALBOREA;2215
ALBACETE;ALMANSA;2640
ALBACETE;CASAS IBAÑEZ;2200
ALBACETE;HIGUERUELA;2694
ALBACETE;VILLATOYA;2215
ALICANTE;ALCOI;3804
ALICANTE;ALICANTE;3540
ALICANTE;DENIA;3700
ALICANTE;EL REBOLLERO;3113
ALICANTE;ELCHE;3206
ALICANTE;JALON;3727
ALICANTE;JAVEA;3730
ALICANTE;ORIHUELA;3189
ALICANTE;SANTA POLA;3130
ALICANTE;VILA JOIOSA;3570
AVILA;AREVALO;5200
BARCELONA;BARCELONA;8005
BARCELONA;BIGUES I RIELLS;8415
BARCELONA;CANOVELLES;8420
BARCELONA;CARDEDEU;8440
BARCELONA;CERDANYOLA;8290
BARCELONA;CUBELLES;8880
BARCELONA;GINARS DELS VALLERS;8450
BARCELONA;GRANOLLERS;8400
BARCELONA;LA ROCA DEL VALLES;8430
BARCELONA;LAMETLLA DEL VALLES;8480
BARCELONA;LES FRANQUESES DEL VALLES;8520
BARCELONA;LLIÇA D AMUNT;8186
BARCELONA;LLIÇA DE VALL;8185
BARCELONA;LLINARS DEL VALLES;8450
BARCELONA;MOLLET DEL VALLES;8100
BARCELONA;MONTCADA I REIXAC;8110
BARCELONA;MONTMELO;8160
BARCELONA;OLESA DE MONTSERRAT;8640
BARCELONA;PALAU DE PLEGAMANS;8184
BARCELONA;PALAU-SOLITA I PLEGAMANS;8184
BARCELONA;PARETS DEL VALLES;8150
BARCELONA;SANT BOI DE LLOBREGAT;8830
BARCELONA;SANT CUGAT DEL VALLES;8173
BARCELONA;SANT FRUITOS DE BAGES;8272
BARCELONA;sant pol de mar;8395
BARCELONA;SANT QUIRZE DEL VALLES;8192
BARCELONA;STA EULALIA DE RONÇANA;8185
BARCELONA;STA. Mª DE PALAUTORDERA;8460
BARCELONA;STA. Mª PALAUTORDERA;8460
BARCELONA;TIANA;8391
BARCELONA;TONA;8551
BARCELONA;VALLIRANA;8759
BURGOS;MIRANDA DE EBRO;9200
CÁCERES;CÁCERES;10005
CÁDIZ;CHICLANA DE LA FRONTERA;11130
CASTELLON;ALMENARA;12590
CASTELLON;BEJIS;12430
CASTELLON;BURRIANA;12530
CASTELLON;CASTELLON;12001
CASTELLON;LA VALL D´UXO;12600
CASTELLON;LOS ROSILDOS;12164
CASTELLON;MONCOFA;12593
CASTELLON;ONDA;12200
CASTELLON;SACAÑET;12469
CASTELLON;SEGORBE;12400
CASTELLON;SONEJA;12480
CASTELLON;VALL D´UIXO;12600
CASTELLON;VILA-REAL/VILLARREAL;12540
CASTELLON;VINAROS;12500
CASTELLON;VIVER;12460
CASTELLON;XILXES;12592
CÓRDOBA;LUCENA;14900
CÓRDOBA;SANTOS, LOS;14900
CUENCA;CUENCA;16000
CUENCA;LEDAÑA;16237
CUENCA;MOTILLA DEL PALANCAR;16200
CUENCA;SANTA MARIA DEL CAMPO RUS;16621
GUIPÚZCOA;OIARZUN;20180
ISLAS BALEARES;MARRATXI;7141
ISLAS BALEARES;SANT FRANCESC DE FORMENTERA;7860
LA CORUÑA;CEPO (ARTEIXO);15142
LA CORUÑA;MESOIRO;15190
LA RIOJA;NAJERA;26300
MADRID;ALCOBENDAS;28108
MADRID;ALGETE;28110
MADRID;COSLADA;28821
MADRID;FUENLABRADA;28946
MADRID;MADRID;28005
MADRID;SAN BLAS MATR:7202GPC;
MALAGA;ALHAURIN EL GRANDE;29120
MANISES;MANISES;46940
MURCIA;ALHAMA DE MURCIA;30840
MURCIA;CEUTI;30562
MURCIA;JAVALI NUEVO;30832
MURCIA;MURCIA;30002
MURCIA;RAAL, EL;30139
OVIEDO;CASTROPOL;33760
SEVILLA;DOS HERMANAS;41701
SEVILLA;MAIRENA;41927
TARRAGONA;DELTEBRE;43580
TARRAGONA;SALOU;43840
TERUEL;SARRION;44460
TERUEL;TERUEL;44002
TERUEL;TORRIJAS;44421
TOLEDO;TOLEDO;45007
VALENCIA;ALAQUAS;46960
VALENCIA;ALBAL;46470
VALENCIA;ALBALAT DELS TARONGERS;46591
VALENCIA;ALBERIC;46292
VALENCIA;ALBORACHE;46369
VALENCIA;ALBORAIA;46120
VALENCIA;ALBUIXECH;46550
VALENCIA;ALCÁCER;46290
VALENCIA;ALCASSER;46290
VALENCIA;ALCIRA;46600
VALENCIA;ALCÚDIA DE CRESPINS, L';46690
VALENCIA;ALDAIA;46960
VALENCIA;ALFAFAR;46910
VALENCIA;ALFARA DE LA BARONIA;46594
VALENCIA;ALGEMESI;46680
VALENCIA;ALGIMIA DE ALFARA;46148
VALENCIA;ALGINET;46230
VALENCIA;ALMASSERA;46132
VALENCIA;ALMUSSAFES;46440
VALENCIA;ALZIRA;46600
VALENCIA;AMASSERA;46132
VALENCIA;BALCON DE MONTROY;46193
VALENCIA;BARRIO DEL CRISTO;46960
VALENCIA;BENAGUASIL;46180
VALENCIA;BENETUSSER;46910
VALENCIA;BENIARJO;46722
VALENCIA;BENIFAIÓ;46450
VALENCIA;BENIFAIRO DE LES VALLS;46511
VALENCIA;BENIFARAIG;46016
VALENCIA;BENIGÁNIM;46830
VALENCIA;BENIMAMET;46035
VALENCIA;BENIPARRELL;46469
VALENCIA;BETERA;46117
VALENCIA;BOCAIRENT;46880
VALENCIA;BONREPOS I MIRAMBELL;46131
VALENCIA;BUÑOL;46360
VALENCIA;BURJASSOT;46100
VALENCIA;CALICANTO;46360
VALENCIA;CANALS;46650
VALENCIA;CANET D'EN BERENGUER;46529
VALENCIA;CAÑADA, LA;46182
VALENCIA;CARCAIXENT;46740
VALENCIA;CARLET;46240
VALENCIA;CASTELLÓ DE RUGAT;46841
VALENCIA;CATARROJA;46470
VALENCIA;CAUDETE DE LAS FUENTES;46315
VALENCIA;CHERA;46350
VALENCIA;CHESTE;46380
VALENCIA;CHIVA;46310
VALENCIA;CHIVA-CALICANTO;46370
VALENCIA;CORBERA;46612
VALENCIA;CUEVAS, LAS (BENIMAMET);46035
VALENCIA;CULLERA;46400
VALENCIA;CUMBRES CALICANTO - TORRENT;46900
VALENCIA;DOMEÑO;46174
VALENCIA;DOS AGUAS;46198
VALENCIA;EL PUIG;45540
VALENCIA;EL ROMANI;46439
VALENCIA;ELIANA, L';46183
VALENCIA;ENGUERA;46810
VALENCIA;ESTIVELLA;46590
VALENCIA;FAURA;46512
VALENCIA;FAVARA;46614
VALENCIA;FOIOS;46134
VALENCIA;FORTALENY;46418
VALENCIA;FUENTERROBLES;46314
VALENCIA;GANDIA;46700
VALENCIA;GENOVES;46894
VALENCIA;GILET;46149
VALENCIA;GODELLA;46035
VALENCIA;GODELLETA;46388
VALENCIA;L´ALCUDIA;46250
VALENCIA;LA ELIANA;46183
VALENCIA;LA POBLA DE VALLBONA;46185
VALENCIA;LA TORRE;46017
VALENCIA;LIRIA;46160
VALENCIA;LLIRIA;46160
VALENCIA;LLOMBAI;46195
VALENCIA;LLOSA DE RANES;46815
VALENCIA;LORIGUILLA;46393
VALENCIA;LOSA DEL OBISPO;46168
VALENCIA;MACASTRE ;46368
VALENCIA;MANISES;46163
VALENCIA;MANUEL;46660
VALENCIA;MASIAS;46113
VALENCIA;MASSALFASAR;46560
VALENCIA;MASSAMAGRELL;46130
VALENCIA;MASSANASSA;46470
VALENCIA;MASSARROJOS;46112
VALENCIA;MELIANA;46033
VALENCIA;MISLATA;46920
VALENCIA;MOIXENT/MOGENTE;46640
VALENCIA;MONCADA;46113
VALENCIA;MONSERRAT;46192
VALENCIA;MONTE PICAIO (SAGUNTO);46500
VALENCIA;MONTORTAL;46250
VALENCIA;MONTROY;46193
VALENCIA;MUSEROS;46136
VALENCIA;NAQUERA;46119
VALENCIA;NAZARET;46024
VALENCIA;OLIVA;46780
VALENCIA;ONTINYENT;46870
VALENCIA;PAIPORTA;46200
VALENCIA;PATERNA;46980
VALENCIA;PERELLO, EL;46420
VALENCIA;PETRÉS;46501
VALENCIA;PICANYA;46210
VALENCIA;PICASSENT;46220
VALENCIA;PLAYA DE GANDIA;46730
VALENCIA;POBLA DE FARNALS PLAYA;46137
VALENCIA;POBLA DE FARNALS, LA;46139
VALENCIA;POBLA VALLBONA;46185
VALENCIA;POLIGONO FUENTE DEL JARRO- PATERNA;46988
VALENCIA;PUÇOL;46530
VALENCIA;PUERTO DE SAGUNTO;46520
VALENCIA;PUIG, EL;46540
VALENCIA;QUART DE LES VALLS;46515
VALENCIA;QUART DE POBLET;46930
VALENCIA;QUARTELL;46510
VALENCIA;QUATRETONDA;46837
VALENCIA;RACO, EL;46940
VALENCIA;RAFAELBUNYOL;46180
VALENCIA;RIBARROJA DEL TURIA;46190
VALENCIA;RIOLA;46417
VALENCIA;ROCAFORT;46111
VALENCIA;SAGUNTO ;46500
VALENCIA;SAN ANTONIO DE BENAGEBER;46184
VALENCIA;SAN MARCELINO;46170
VALENCIA;SANATORIO DE PORTA-COELI;46117
VALENCIA;SEDAVI;46910
VALENCIA;SENYERA;46669
VALENCIA;SERRA;46118
VALENCIA;SILLA;46460
VALENCIA;SIMAT DE LA VALLDIGNA;46750
VALENCIA;SOLLANA;46430
VALENCIA;SOT DE CHERA;46168
VALENCIA;SUECA;46410
VALENCIA;SUMACÁRCER;46295
VALENCIA;TAVERNES BLANQUES;46016
VALENCIA;TAVERNES DE LA VALLDIGNA, DE;46760
VALENCIA;TORRENT;46900
VALENCIA;TORRES-TORRES;46148
VALENCIA;TURIS;46200
VALENCIA;URB MONASTERIOS  PUÇOL;46530
VALENCIA;URB. ALFINACH  (PUÇOL);46530
VALENCIA;URB. MONTE PICAYO (PUÇOL);46540
VALENCIA;VALDELIRIA;46160
VALENCIA;VALTERNA (PATERNA);46980
VALENCIA;VEDAT DE TORRENTE, EL;46901
VALENCIA;VENTA DEL EMPERADOR;46135
VALENCIA;VENTAS DE BUÑOL, LAS;46360
VALENCIA;VENTAS POBLA VALLBONA;46185
VALENCIA;VILAMARXANT;46191
VALENCIA;VILLANUEVA DE CASTELLON;46270
VALENCIA;VINALESA;46114
VALENCIA;XÀTIVA;46800
VALENCIA;XIRIVELLA;46570
VALENCIA;YATOVA;46367
VALLADOLID;ARROYO DE LA ENCOMIENDA;47195
